date,province,infected,day
2020-03-11,خراسان رضوی,34,11
2020-03-11,خراسان شمالی,11,11
2020-03-11,خوزستان,17,11
2020-03-11,زنجان,22,11
2020-03-11,سمنان,63,11
2020-03-11,سیستان و بلوچستان,4,11
2020-03-11,فارس,19,11
2020-03-11,قزوین,27,11
2020-03-11,قم,53,11
2020-03-11,لرستان,9,11
2020-03-11,مازندران,32,11
2020-03-11,مرکزی,31,11
2020-03-11,هرمزگان,10,11
2020-03-11,همدان,7,11
2020-03-11,چهارمحال و بختیاری,1,11
2020-03-11,کردستان,6,11
2020-03-11,کرمان,18,11
2020-03-11,کرمانشاه,8,11
2020-03-11,کهگیلویه و بویراحمد,0,11
2020-03-11,گلستان,9,11
2020-03-11,گیلان,5,11
2020-03-11,یزد,23,11
2020-03-12,آذربایجان غربی,19,12
2020-03-12,اردبیل,14,12
2020-03-12,اصفهان,4,12
2020-03-12,البرز,74,12
2020-03-12,ایلام,7,12
2020-03-12,بوشهر,3,12
2020-03-12,تهران,303,12
2020-03-12,خراسان جنوبی,12,12
2020-03-12,خراسان رضوی,29,12
2020-03-12,خراسان شمالی,0,12
2020-03-12,خوزستان,31,12
2020-03-12,زنجان,17,12
2020-03-12,سمنان,40,12
2020-03-12,سیستان و بلوچستان,6,12
2020-03-12,فارس,29,12
2020-03-12,قزوین,42,12
2020-03-12,قم,42,12
2020-03-12,لرستان,25,12
2020-03-12,مازندران,79,12
2020-03-12,مرکزی,88,12
2020-03-12,هرمزگان,0,12
2020-03-12,همدان,12,12
2020-03-12,چهارمحال و بختیاری,11,12
2020-03-12,کردستان,9,12
2020-03-12,کرمان,7,12
2020-03-12,کرمانشاه,20,12
2020-03-12,کهگیلویه و بویراحمد,15,12
2020-03-12,گلستان,25,12
2020-03-12,گیلان,84,12
2020-03-12,یزد,21,12
2020-03-13,آذربایجان غربی,25,13
2020-03-13,اردبیل,15,13
2020-03-13,اصفهان,110,13
2020-03-13,البرز,6,13
2020-03-13,ایلام,8,13
2020-03-13,بوشهر,0,13
2020-03-13,تهران,303,13
2020-03-13,خراسان جنوبی,0,13
2020-03-13,خراسان رضوی,110,13
2020-03-13,خراسان شمالی,0,13
2020-03-13,خوزستان,15,13
2020-03-13,زنجان,20,13
2020-03-13,سمنان,38,13
2020-03-13,سیستان و بلوچستان,2,13
2020-03-13,فارس,33,13
2020-03-13,قزوین,12,13
2020-03-13,قم,42,13
2020-03-13,لرستان,25,13
2020-03-13,مازندران,192,13
2020-03-13,مرکزی,48,13
2020-03-13,هرمزگان,4,13
2020-03-13,همدان,10,13
2020-03-13,چهارمحال و بختیاری,0,13
2020-03-13,کردستان,9,13
2020-03-13,کرمان,12,13
2020-03-13,کرمانشاه,15,13
2020-03-13,کهگیلویه و بویراحمد,0,13
2020-03-13,گلستان,21,13
2020-03-13,گیلان,71,13
2020-03-13,یزد,46,13
2020-03-14,آذربایجان غربی,31,14
2020-03-14,اردبیل,33,14
2020-03-14,اصفهان,155,14
2020-03-14,البرز,134,14
2020-03-14,ایلام,6,14
2020-03-14,بوشهر,7,14
2020-03-14,تهران,347,14
2020-03-14,خراسان جنوبی,4,14
2020-03-14,خراسان رضوی,30,14
2020-03-14,خراسان شمالی,1,14
2020-03-14,خوزستان,48,14
2020-03-14,زنجان,31,14
2020-03-14,سمنان,47,14
2020-03-14,سیستان و بلوچستان,2,14
2020-03-14,فارس,11,14
2020-03-14,قزوین,47,14
2020-03-14,قم,32,14
2020-03-14,لرستان,2,14
2020-03-14,مازندران,17,14
2020-03-14,مرکزی,115,14
2020-03-14,هرمزگان,0,14
2020-03-14,همدان,7,14
2020-03-14,چهارمحال و بختیاری,0,14
2020-03-14,کردستان,5,14
2020-03-14,کرمان,0,14
2020-03-14,کرمانشاه,8,14
2020-03-14,کهگیلویه و بویراحمد,0,14
2020-03-14,گلستان,0,14
2020-03-14,گیلان,113,14
2020-03-14,یزد,73,14
2020-03-15,آذربایجان غربی,18,15
2020-03-15,اردبیل,0,15
2020-03-15,اصفهان,126,15
2020-03-15,البرز,67,15
2020-03-15,ایلام,18,15
2020-03-15,بوشهر,6,15
2020-03-15,تهران,251,15
2020-03-15,خراسان جنوبی,18,15
2020-03-15,خراسان رضوی,143,15
2020-03-15,خراسان شمالی,6,15
2020-03-15,خوزستان,32,15
2020-03-15,زنجان,32,15
2020-03-15,سمنان,41,15
2020-03-15,سیستان و بلوچستان,6,15
2020-03-15,فارس,9,15
2020-03-15,قزوین,22,15
2020-03-15,قم,84,15
2020-03-15,لرستان,52,15
2020-03-15,مازندران,72,15
2020-03-15,مرکزی,0,15
2020-03-15,هرمزگان,7,15
2020-03-15,همدان,11,15
2020-03-15,چهارمحال و بختیاری,0,15
2020-03-15,کردستان,27,15
2020-03-15,کرمان,7,15
2020-03-15,کرمانشاه,13,15
2020-03-15,کهگیلویه و بویراحمد,1,15
2020-03-15,گلستان,25,15
2020-03-15,گیلان,43,15
2020-03-15,یزد,36,15
2020-03-16,آذربایجان غربی,31,16
2020-03-16,اردبیل,30,16
2020-03-16,اصفهان,118,16
2020-03-16,البرز,49,16
2020-03-16,ایلام,2,16
2020-03-16,بوشهر,4,16
2020-03-16,تهران,200,16
