character_1,character_2,relationship
برادر شنگل,بهرام گور,برخورد
پسر شنگل,بهرام گور,برخورد
راهنمای هندی,بهرام گور,برخورد
شاه کابل (بهرام),بهرام گور,برخورد
هند شاه,بهرام گور,برخورد
شاه سندل,بهرام گور,برخورد
شاه مندل,بهرام گور,برخورد
جندل (بهرام گور),بهرام گور,برخورد
شاه هیتال (پیروز),پیروز (شاه),برخورد
خوشنواز,سوخراش / سوفزای,برخورد
مرد بینا دل (فرستاده‌ی خوشنواز),پیروز (شاه),برخورد
شاپور رازی,قباد پیروز,برخورد
شاپور رازی,سوخراش / سوفزای,برخورد
دهقان مهتر ده,قباد پیروز,برخورد
مزدک,قباد پیروز,برخورد
پیر (قباد),قباد پیروز,برخورد
خرداد,قباد پیروز,برخورد
مهرآذر پارسی,قباد پیروز,برخورد
مهرآذر پارسی,کسرا انوشیروان,برخورد
پیر (قباد),مزدک,برخورد
پیر (قباد),کسرا انوشیروان,برخورد
خرداد,مزدک,برخورد
مهرآذر پارسی,مزدک,برخورد
فرآیین (شاه کش),مزدک,برخورد
غاتفر,کسرا انوشیروان,برخورد
موبد و مرزبان بلخ,کسرا انوشیروان,برخورد
موبد و مرزبان بامیان,کسرا انوشیروان,برخورد
موبد و مرزبان کرزبان,کسرا انوشیروان,برخورد
رای هند,کسرا انوشیروان,برخورد
داناترین مرد هند,برزوی پزشک,برخورد
شاه ساوه (هرمزد),هرمزد (پسر بهرام گور),برخورد
قیصر (هرمزد),هرمزد (پسر بهرام گور),برخورد
عباس,هرمزد (پسر بهرام گور),برخورد
مهران ستاد,هرمزد (پسر بهرام گور),برخورد
راد فرخ (هرمزد),هرمزد (پسر بهرام گور),برخورد
آیین گشسب,بهرام چوبیه,برخورد
شاهک,بهرام چوبیه,برخورد
سروش خجسته,خسرو پرویز,برخورد
کدخدای (چوبینه),خرداد برزین,برخورد
دو مرد گرانمایه (یزدگرد سوم),یزدگرد سوم,برخورد
دهقان مرو,یزدگرد سوم,برخورد
ترسای ۱,یزدگرد سوم,برخورد
ترسای ۳,یزدگرد سوم,برخورد
ترسای ۲,یزدگرد سوم,برخورد
ترسای ۴,یزدگرد سوم,برخورد
ترسای ۵,یزدگرد سوم,برخورد
ترسای ۶,یزدگرد سوم,برخورد
ترسای ۷,یزدگرد سوم,برخورد
ترسای ۸,یزدگرد سوم,برخورد
ترسای ۹,یزدگرد سوم,برخورد
کدخدای روستای نزدیک شهر,شاپور هوبه سنبا,برخورد
ایرانی جفا دیده,قیصر (شاپور),برخورد
ایرانی جفا دیده,شاپور هوبه سنبا,برخورد
اسکندر,خزاعه,برخورد
مادر کودک کفشگر,بهرام گور,برخورد
پرموده,هرمزد (پسر بهرام گور),برخورد
پرموده,بهرام چوبیه,برخورد
برسام,یزدگرد سوم,برخورد
نصر قتیب,اسکندر,برخورد
پیر مرده,اسکندر,برخورد
برهمن,اسکندر,برخورد
مردم سیاه,اسکندر,برخورد
مردم درشت بدن,اسکندر,برخورد
مرغ ژنده,اسکندر,برخورد
مرده در تخت یاقوت,اسکندر,برخورد
فغفور چین (اسکندر),اسکندر,برخورد
مرد شیرین و سنگ,اسکندر,برخورد
دستور اردوان,اردشیر بابکان,برخورد
دو مرد جوان,اردشیر بابکان,برخورد
ملاح پیر,اردشیر بابکان,برخورد
شبانان در کوه,اردشیر بابکان,برخورد
پرستنده ی کرم,اردشیر بابکان,برخورد
میر,هفتواد,برخورد
کید هندی (اردشیر),اردشیر بابکان,برخورد
مهتر ده (اردشیر),دختر مهرک,برخورد
مهتر ده (اردشیر),دختر مهرک,برخورد
دانش‌پژوه (رهام),رهام,برخورد
باژ خواه (کی خسرو),گیو,برخورد
خرمدل رهنمای (رستم),رستم,برخورد
خواب گزار زبان آور,افراسیاب تورانی,برخورد
موبد کاووس (سیاوش),کاووس,برخورد
زن بد کنش (سودابه),سودابه,برخورد
دیو دژخیم,کاووس,برخورد
دیو دژخیم,اهریمن (مازندران),برخورد
بهرام گودرز,شاه شام,برخورد
شاه بربر,کاووس,برخورد
کلاهور,رستم,برخورد
مرد زورآزمای,رستم,برخورد
کنیزان رودابه,ریدک پهلوان (زال),برخورد
سهراب,گرد آفرید,برخورد
موبد موبدان,زال زر,برخورد
نوش آذر اسفندیار,کهرم پسر ارجاسب,برخورد
بهمن اسفندیار,شیرخون,برخورد
پرستار ویژه‌ی بهرام,منذر,برخورد
دبیر پرهیزگار (بهرام گور),خارزن,برخورد
بهرام هور,خارزن,برخورد
دختر دیگر خاقان (بهرام),خراد برزین,برخورد
باغبان (شاپور),مهتر ده (شاپور),برخورد
موبد موبدان (شاپور هوبه سنبا),باغبان (شاپور),برخورد
دارای داراب,فور هندی,برخورد
برانوش (جانشین),شاپور اردشیر,جانشین
فرآیین (گواه),کسرا انوشیروان,برخورد
هجیر,هومان,برخورد
بارمان دوم,زواره,برخورد
همسر گردوی,گردیه,همسر
یانس,قیصر (شاپور),برخورد
حمزه,هرمز پسر نوشین روان,برخورد
عباس,هرمز پسر نوشین روان,برخورد
زنی شیرین سخن,رودابه,برخورد
زرسپ (کسرا انوشیروان),کسرا انوشیروان,برخورد
جهن برزین,فریدون,برخورد
هرمزد شهران گراز,فرایین(آپادشاهی ),برخورد
کلباد نخست,خزروان (افراسیاب),برخورد
کلباد نخست,شماساس,برخورد
خاقان (جنگ با هیتال),غاتفر,برخورد
مهروی,بندوی,برخورد
رستم,افراسیاب تورانی,برخورد
مهراس (انوشیروان),کسرا انوشیروان,برخورد
افراسیاب تورانی,قارن کاوه,برخورد
زال زر,شماساس,برخورد
رستم,دشتوان (هفت خوان),برخورد
دشتوان (هفت خوان),اولاد,برخورد
مرد زورآزمای,فرهاد مازندران,برخورد
زواره,هومان,برخورد
خویش گرسیوز,توس,برخورد
خویش گرسیوز,گیو,برخورد
هیربد کاووس,سودابه,برخورد
زنگه,افراسیاب تورانی,برخورد
سیاوش,افراسیاب تورانی,برخورد
دمور,سیاوش,برخورد
توس,افراسیاب تورانی,برخورد
کی خسرو,کاووس,برخورد
موبدان آزماینده ی زال,زال زر,برخورد
تژاو,کبوده,برخورد
رویین,بهرام گودرز,برخورد
بهرام گودرز,پیران ویسه,برخورد
خاقان (خاقان چین),پیران ویسه,برخورد
کاموس کشانی,پیران ویسه,برخورد
پیران ویسه,منشور,برخورد
پیران ویسه,فرتوس,برخورد
گله‌دار اسبان افراسیاب,رستم,برخورد
دایه منیژه,بیژن,برخورد
بیژن,افراسیاب تورانی,برخورد
گرگین,رهام,برخورد
اشکش,گرسیوز,برخورد
جهن,منوشان خوزان,برخورد
جهن,کی خسرو,برخورد
کهرم پسر بزرگ ارجاسپ,فرشیدورد (برادر اسفندیار),برخورد
ناهید,دلارای دارا,برخورد
رای هند (خسروپرویز),شاه شیرویه,برخورد
رخش رستم,رستم,برخورد
رستم,چوپان (رخش),برخورد
آزاده کنیز بهرام,بهرام گور,زیردست
اسپنوی,تژاو,زیردست
گلنار,اردوان,زیردست
گلنار,اردشیر بابکان,زیردست
جندل,فریدون,زیردست
بزرگمهر,کسرا انوشیروان,زیردست
جاماسب پیشگو,گشتاسپ,زیردست
کندرو (دستور ضحاک),ضحاک,زیردست
بهرام چوبیه,هرمز پسر نوشین روان,زیردست
رستم,گرشاسب شاه,زیردست
رستم,کی قباد,زیردست
رستم,کاووس,زیردست
رستم,کی خسرو,زیردست
نام خواست هزاران,ارجاسب,زیردست
گیو,کاووس,زیردست
زال زر,کاووس,زیردست
شهرسپ (تهمورث),تهمورث,زیردست
گستهم نوذر,کی خسرو,زیردست
سام,نوذر,زیردست
قارن کاوه,نوذر,زیردست
قارن کاوه,منوچهر,زیردست
شاپور نستوه,منوچهر,زیردست
شاپور نستوه,فریدون,زیردست
سام,منوچهر,زیردست
قباد پهلوان,منوچهر,زیردست
گرشاسب پسر نریمان,منوچهر,زیردست
دیو جنگی (سپاه کاکو),کاکوی,زیردست
ریدک پهلوان (زال),زال زر,زیردست
کنیزان رودابه,رودابه,زیردست
سیه چشم(گنجور زال),زال زر,زیردست
گرسیوز,افراسیاب تورانی,زیردست
کلباد,افراسیاب تورانی,زیردست
ویسه,پشنگ,زیردست
کلباد,پشنگ,زیردست
گرسیوز,پشنگ,زیردست
ارجاسب,پشنگ,زیردست
بارمان پسر ویسه,پشنگ,زیردست
گشواد,منوچهر,زیردست
شماساس,افراسیاب تورانی,زیردست
خزروان (افراسیاب),افراسیاب تورانی,زیردست
تلیمان,نوذر,زیردست
شیدوش (منوچهر),نوذر,زیردست
گشواد,کی قباد,زیردست
زال زر,کی قباد,زیردست
قارن کاوه,کی قباد,زیردست
گرگین,کاووس,زیردست
دیو سپید,شاه مازندران,زیردست
ارژنگ دیو,شاه مازندران,زیردست
پولاد غندی (اولاد غندی),شاه مازندران,زیردست
بید,شاه مازندران,زیردست
توس,کاووس,زیردست
گودرز,کاووس,زیردست
زنگه,کاووس,زیردست
رهام,کاووس,زیردست
فرهاد,کاووس,زیردست
پیران ویسه,افراسیاب تورانی,زیردست
الکوس,افراسیاب تورانی,زیردست
هومان,سهراب,زیردست
سپهرم,افراسیاب تورانی,زیردست
طورگ,افراسیاب تورانی,زیردست
اخواست,افراسیاب تورانی,زیردست
اندریمان,افراسیاب تورانی,زیردست
رویین,افراسیاب تورانی,زیردست
دمور,افراسیاب تورانی,زیردست
گروی,افراسیاب تورانی,زیردست
پیلسم,افراسیاب تورانی,زیردست
لهاک,افراسیاب تورانی,زیردست
فرشیدورد,افراسیاب تورانی,زیردست
ورازاد,افراسیاب تورانی,زیردست
کهرم افراسیاب,افراسیاب تورانی,زیردست
گیو,کی خسرو,زیردست
کبوده,افراسیاب تورانی,زیردست
فرغار,افراسیاب تورانی,زیردست
برزین گرشاسب,کی خسرو,زیردست
خراد (پهلوان),کی خسرو,زیردست
گرگین,کی خسرو,زیردست
گرسیون,افراسیاب تورانی,زیردست
فریبرز,کی خسرو,زیردست
لهراسپ,کی خسرو,زیردست
گژدهم,کاووس,زیردست
گژدهم,کی خسرو,زیردست
فروهل,کی خسرو,زیردست
گرازه,کی خسرو,زیردست
هجیر,کی خسرو,زیردست
کتماره,کی خسرو,زیردست
ژنگوله,افراسیاب تورانی,زیردست
هجیر,کاووس,زیردست
شماخ,کی خسرو,زیردست
منوشان خوزان,کی خسرو,زیردست
خوزان,کی خسرو,زیردست
شاه خوزیان,کی خسرو,زیردست
صباح,کی خسرو,زیردست
شاه کرمان,کی خسرو,زیردست
ایرج پیلتن,کی خسرو,زیردست
گیوه رزم زن,کی خسرو,زیردست
تخوار,کی خسرو,زیردست
نستوه گودرز,کی خسرو,زیردست
زهیر,کی خسرو,زیردست
لشکرستان,کی خسرو,زیردست
منوچهر آرش,کی خسرو,زیردست
پیروز گروخان نژاد,کی خسرو,زیردست
بستام (شه غرچه),کی خسرو,زیردست
سمکنان,کی خسرو,زیردست
آوه,کی خسرو,زیردست
برته,کی خسرو,زیردست
کوهیار,کی خسرو,زیردست
گستهم گژدهم,کی خسرو,زیردست
اندمان توس,کی خسرو,زیردست
خرنجاش,افراسیاب تورانی,زیردست
نستوه (تورانی),افراسیاب تورانی,زیردست
اغریرث جنگجو,افراسیاب تورانی,زیردست
استقیلا,افراسیاب تورانی,زیردست
گستهم نوذر,لهراسپ,زیردست
گرازه,لهراسپ,زیردست
نستاو,قیصر (گشتاسپ),زیردست
اسقف (لهراسپ),قیصر (گشتاسپ),زیردست
ساربان قیصر,قیصر (گشتاسپ),زیردست
بوراب,قیصر (گشتاسپ),زیردست
اسقف قیصر (گشتاسپ),قیصر (گشتاسپ),زیردست
سکوبا (گشتاسپ),قیصر (گشتاسپ),زیردست
قالوس,قیصر (گشتاسپ),زیردست
بهرام زرسپ,لهراسپ,زیردست
ریونیز از تخم زرسپ,لهراسپ,زیردست
بی درفش,ارجاسب,زیردست
گرگسار,ارجاسب,زیردست
خشاش,ارجاسب,زیردست
هوش دیو,ارجاسب,زیردست
گرزم,گشتاسپ,زیردست
ستوه (ارجاسپ),ارجاسب,زیردست
کندر (ارجاسپ),ارجاسب,زیردست
گردوی پهلوی,گشتاسپ,زیردست
ساوه ارجمند,گشتاسپ,زیردست
پشوتن,بهمن اسفندیار,زیردست
ساسان پسر بهمن (اردشیر),شاه نیشابور,زیردست
ماهیار موبد,دارای داراب,زیردست
جانوشیار,دارای داراب,زیردست
نه نامور (اسکندر),اسکندر,زیردست
سورگ,اسکندر,زیردست
خزاعه,قحطان,زیردست
قیطون,اسکندر,زیردست
گلنار,اردشیر بابکان,زیردست
مهرک,اردشیر بابکان,زیردست
شهرگیر,اردشیر بابکان,زیردست
گران خوار,اردشیر بابکان,زیردست
شهرو (شاپور هوبه سونبا),شهرو (شاپور هوبه سونبا),زیردست
ماه آفرید(ایرج),ایرج,زیردست
شیروی (منوچهر),منوچهر,زیردست
شیدوش (منوچهر),منوچهر,زیردست
شیدوش (کاووس),کاووس,زیردست
نگهبان الان دژ,سلم,زیردست
خرداد برزین,خسرو پرویز,زیردست
یانس,قیصر (شاپور),زیردست
سعد (بهرام),بهرام گور,زیردست
آزاده کنیز بهرام,بهرام گور,زیردست
کنیز زیبا رو,بهرام گور,زیردست
نرسی برادر بهرام گور,بهرام گور,زیردست
هرمزد کدخدای,بهرام گور,زیردست
موبد پاک رای,بهرام گور,زیردست
روزبه,بهرام گور,زیردست
موبد (بهرام گور),بهرام گور,زیردست
ایرمان,بهرام گور,زیردست
آزاده کنیز بهرام,بهرام گور,زیردست
بهرام هور,بهرام گور,زیردست
دبیر پرهیزگار (بهرام گور),بهرام گور,زیردست
مهرپرویز بنداد,بهرام گور,زیردست
مهربرزين خراد,بهرام گور,زیردست
بهرام پيروز بهراميان,بهرام گور,زیردست
خزروان رهام,بهرام گور,زیردست
اندمان (بهرام گور),بهرام گور,زیردست
شاه گيلان,بهرام گور,زیردست
شاه رى,بهرام گور,زیردست
دادبرزين رزم آزمای,بهرام گور,زیردست
قارن برزمهر,بهرام گور,زیردست
رادبرزين آزنگ چهر,بهرام گور,زیردست
گستهم (بهرام گور),بهرام گور,زیردست
راهنمایی کارازموده,بهرام گور,زیردست
شمر (پادشاه توران),بهرام گور,زیردست
برزمهر,بهرام گور,زیردست
موبد رهنمون,بهرام گور,زیردست
سوخراش / سوفزای,بلاش,زیردست
سوخراش / سوفزای,قباد پیروز,زیردست
موبدِ بدگوی,قباد پیروز,زیردست
موبد لهراسپ,لهراسپ,زیردست
بزرگمهر,قباد پیروز,زیردست
فرهاد (نوشین روان),کسرا انوشیروان,زیردست
پیروز (نوشین روان),کسرا انوشیروان,زیردست
رشنواد,کسرا انوشیروان,زیردست
شماس,نوش زاد,زیردست
پیروز (نوشین روان),مهر برزین (انوشیروان),زیردست
شاپور (بزم نوشین روان),کسرا انوشیروان,زیردست
یزدگرد دبیر,کسرا انوشیروان,زیردست
زروان,کسرا انوشیروان,زیردست
مشعبد,زروان,زیردست
مهبود,کسرا انوشیروان,زیردست
برزوی پزشک,کسرا انوشیروان,زیردست
خواهر زاده ی بزرگمهر,کسرا انوشیروان,زیردست
زرسپ (نوشین روان),کسرا انوشیروان,زیردست
مهرک,کسرا انوشیروان,زیردست
کارگزار پسا,کسرا انوشیروان,زیردست
مردوی,کسرا انوشیروان,زیردست
قراخان (سپهسالار خراسان),کسرا انوشیروان,زیردست
بهمن (کسرا),کسرا انوشیروان,زیردست
ایزدگشسب,کسرا انوشیروان,زیردست
ماه آذر,کسرا انوشیروان,زیردست
زردهشت (انوشیروان),کسرا انوشیروان,زیردست
موکل (هرمزد),کسرا انوشیروان,زیردست
بدال,قیصر (هرمزد),زیردست
نستوه دوم,هرمزد (پسر بهرام گور),زیردست
خراد (سپهدار جنگ با ساوه),هرمزد (پسر بهرام گور),زیردست
یل سینه,بهرام چوبیه,زیردست
ایزدگشسب,بهرام چوبیه,زیردست
همدان گشسب,بهرام چوبیه,زیردست
مهران دبیر,هرمزد (پسر بهرام گور),زیردست
خراد برزین,هرمزد (پسر بهرام گور),زیردست
بهرام پور سیاوش,بهرام چوبیه,زیردست
آیین گشسب,هرمزد (پسر بهرام گور),زیردست
شاهک,هرمزد (پسر بهرام گور),زیردست
شیرزیل,هرمزد (پسر بهرام گور),زیردست
شیران,هرمزد (پسر بهرام گور),زیردست
وستوی,هرمزد (پسر بهرام گور),زیردست
خنجست,هرمزد (پسر بهرام گور),زیردست
پیل مست,هرمزد (پسر بهرام گور),زیردست
بیورد,هرمزد (پسر بهرام گور),زیردست
شاپور (لشکری خسروپرویز),خسرو پرویز,زیردست
زنگوی,خسرو پرویز,زیردست
مهروی,بهرام چوبیه,زیردست
شهران گراز,بهرام چوبیه,زیردست
خراسان (سپهبد),بهرام چوبیه,زیردست
فرخزاد(نخست),بهرام چوبیه,زیردست
خزروان خسرو,بهرام چوبیه,زیردست
راد فرخ (هرمزد),بهرام چوبیه,زیردست
سنباد,بهرام چوبیه,زیردست
بابوی,بهرام چوبیه,زیردست
بالوی,خسرو پرویز,زیردست
تخوار (خسرو پرویز),خسرو پرویز,زیردست
بالوی,خسرو پرویز,زیردست
سرگس (جنگجو),نیاتوس,زیردست
کوت,نیاتوس,زیردست
دانا پناه,خسرو پرویز,زیردست
رام (پهلوان),بهرام چوبیه,زیردست
نیاتوس,قیصر (خسرو پرویز),زیردست
ارمنی,خسرو پرویز,زیردست
جان فروز,بهرام چوبیه,زیردست
رام برزین (خسرو),خسرو پرویز,زیردست
مهرخسرو,خسرو پرویز,زیردست
برادر خاقان (بهرام),خاقان (بهرام چوبینه),زیردست
مقاتوره,خاقان (بهرام چوبینه),زیردست
حسنوی شاه چین,بهرام چوبیه,زیردست
زنگوی,بهرام چوبیه,زیردست
بهمن (خسرو پرویز),خسرو پرویز,زیردست
مردی سرخ موی و سبز چشم,خسرو پرویز,زیردست
خانگی,قیصر (خسرو پرویز),زیردست
فرخ,خسرو پرویز,زیردست
باربد,خسرو پرویز,زیردست
سرگس (جنگجو),خسرو پرویز,زیردست
مردوی,خسرو پرویز,زیردست
فرعان,خسرو پرویز,زیردست
فرخ زاد آزرمگان,خسرو پرویز,زیردست
سعد وقاص,عمر,زیردست
پیروز شاپور فرخ نژاد,رستم فرخ زاد,زیردست
فرخ زاد هرمزد,رستم فرخ زاد,زیردست
ماهوی,یزدگرد سوم,زیردست
کنارنگ توس,یزدگرد سوم,زیردست
مرزبان کلات,یزدگرد سوم,زیردست
مرزبان رویین دژ,یزدگرد سوم,زیردست
مرزبان شمیران,یزدگرد سوم,زیردست
بیژن ترخان,شاه چین (یزدگرد),زیردست
برسام,بیژن ترخان,زیردست
دو پیشکار (ماهوی),ماهوی,زیردست
پهلوان ماهوی,ماهوی,زیردست
گرسیون (یزدگرد),یزدگرد سوم,زیردست
دایه مالکه,مالکه,زیردست
هوشیوار بدار دل,شاپور هوبه سنبا,زیردست
چمانی طایر,مالکه,زیردست
کدخدای پهلوان,شاپور هوبه سنبا,زیردست
رستم فرخ زاد,یزدگرد سوم,زیردست
همای (فرستاده‌ی بهرام گور),بهرام گور,زیردست
شهرو (شاپور هوبه سونبا),شاپور هوبه سنبا,زیردست
فرایین(آپادشاهی ),اردشیر شیروی,زیردست
خراد (پهلوان),کی قباد,زیردست
خراد (پهلوان),کاووس,زیردست
برزین پهلوان,نوذر,زیردست
برزین پهلوان,کی قباد,زیردست
برزین پهلوان,کاووس,زیردست
ترجمان (اسکندر),اسکندر,زیردست
دستور اردوان,اردوان,زیردست
موبد رای زن (در کار فارس),اردشیر بابکان,زیردست
بناک شاه جهرم,اردشیر بابکان,زیردست
بناک شاه جهرم,بهمن اردوان,زیردست
مرد جوینده,اردشیر بابکان,زیردست
کروخان,افراسیاب تورانی,زیردست
بیدار دانش‌پژوه (شاه هاماوران),کاووس,زیردست
گوینده خبر (شاه هاماوران),کاووس,زیردست
مردی با گوهر (کاووس),کاووس,زیردست
فرهاد مازندران,کاووس,زیردست
سیه چشم(گنجور زال),زال زر,زیردست
مهرنوش پرستار,کسرا انوشیروان,زیردست
سام اسفندیار,خسرو پرویز,زیردست
پرستار ویژه‌ی بهرام,بهرام گور,زیردست
سعد (بهرام),منذر,زیردست
قارن (بهرام گور),بهرام گور,زیردست
گستهم (بهرام گور),خسرو پرویز,زیردست
بیطقون,اسکندر,زیردست
خسرو پرویز,فرعان,زیردست
اشتاد,خسرو پرویز,زیردست
پیروز گرشاسپ,منوچهر,زیردست
پیروز خسرو,اردشیر شیروی,زیردست
فرآیین (گواه),قباد پیروز,زیردست
بارمان دوم,افراسیاب تورانی,زیردست
بارمان دوم,سهراب,زیردست
وستوی,خسرو پرویز,زیردست
گرزسپ,شاپور هوبه سنبا,زیردست
زنی شیرین سخن,زال زر,زیردست
پهلوان,بهرام گور,زیردست
مهراس (انوشیروان),قیصر (عهد انوشیروان),زیردست
برزمهر (انوشیروان),کسرا انوشیروان,زیردست
برزمهر (خسرو پرویز),خسرو پرویز,زیردست
مرد پاکدل (سلم و تور),سلم,زیردست
مرد پاکدل (سلم و تور),تور,زیردست
قباد پهلوان,نوذر,زیردست
گرسیون (زیر دست ماهوی),ماهوی,زیردست
سرگس (نوازنده),خسرو پرویز,زیردست
کلباد نخست,افراسیاب تورانی,زیردست
شاپور نستوه,نوذر,زیردست
موبد پاک رای (بهرام),بهرام بهرام,زیردست
مرد بینا دل (فرستاده‌ی خوشنواز),خوشنواز,زیردست
تلیمان,منوچهر,زیردست
زال زر,نوذر,زیردست
مهراب,کی قباد,زیردست
گژدهم,کی قباد,زیردست
میلاد,کاووس,زیردست
مرد زورآزمای,شاه مازندران,زیردست
کلاهور,شاه مازندران,زیردست
جویان,شاه مازندران,زیردست
گرازه,کاووس,زیردست
زواره,کاووس,زیردست
هیربد کاووس,کاووس,زیردست
نستیهن,افراسیاب تورانی,زیردست
هومان,افراسیاب تورانی,زیردست
گودرز,کی خسرو,زیردست
گو (خسروپرویز),خسرو پرویز,زیردست
موبدان آزماینده ی زال,منوچهر,زیردست
فرهاد,کی خسرو,زیردست
بیژن,کی خسرو,زیردست
رویین (ایرانی),کی خسرو,زیردست
شیدوش (کاووس),کی خسرو,زیردست
اشکش,کی خسرو,زیردست
توس,کی خسرو,زیردست
زرسپ طوس,کی خسرو,زیردست
ریونیز داماد توس,کی خسرو,زیردست
هومان,افراسیاب تورانی,زیردست
بازور,پیران ویسه,زیردست
اشکبوس,افراسیاب تورانی,زیردست
الوای زابلی,کی خسرو,زیردست
چنگش,افراسیاب تورانی,زیردست
گله‌دار اسبان افراسیاب,افراسیاب تورانی,زیردست
شاپور نیو,کی خسرو,زیردست
دایه منیژه,منیژه,زیردست
زنگه,کی خسرو,زیردست
دلافروز (کی خسرو),کی خسرو,زیردست
تخوار (فرود),فرود,زیردست
قارن کاوه,کی خسرو,زیردست
کبرد,افراسیاب تورانی,زیردست
کاکله,افراسیاب تورانی,زیردست
طلایه دار سپاه مکران,شاه مکران,زیردست
زرسپ (کیخسرو),کی خسرو,زیردست
سنجه چینی,غاتفر,زیردست
سنجه,شاه مازندران,زیردست
ساوه ارجمند,لهراسپ,زیردست
زریر,گشتاسپ,زیردست
بستور,گشتاسپ,زیردست
ترخان (اسنفدیار),ارجاسب,زیردست
گلینوش,شاه شیرویه,زیردست
اشتاد,شاه شیرویه,زیردست
گیو,گروی,دستگیر کننده
رستم,شاه شام,دستگیر کننده
سهراب,هجیر,دستگیر کننده
رستم,خاقان (خاقان چین),دستگیر کننده
رستم,جهن,دستگیر کننده
رستم,گرسیوز,دستگیر کننده
هوم,افراسیاب تورانی,دستگیر کننده
گشتاسپ,الیاس,دستگیر کننده
خراد (گرفتار کننده اردوان),اردوان,دستگیر کننده
طایر,نوشه,دستگیر کننده
گرزسپ,برانوش,دستگیر کننده
فریدون,ضحاک,دستگیر کننده
گیو,پیران ویسه,دستگیر کننده
شهرگیر,قیدروش,دستگیر کننده
شهرگیر,دختر فریان,دستگیر کننده
رستم,کاموس کشانی,دستگیر کننده
اسفندیار,گرگسار,دستگیر کننده
اسفندیار,کهرم پسر بزرگ ارجاسپ,دستگیر کننده
کاووس,شاه مازندران,فرمان مرگ
کی خسرو,گرسیوز,فرمان مرگ
بهمن اسفندیار,فرامرز,فرمان مرگ
اسکندر,ماهیار موبد,فرمان مرگ
اسکندر,جانوشیار,فرمان مرگ
اردشیر بابکان,اردوان,فرمان مرگ
اردشیر بابکان,شاهوی,فرمان مرگ
کسرا انوشیروان,نوش زاد,فرمان مرگ
اسفندیار,اندریمان (برادر ارجاسب),فرمان مرگ
اسفندیار,کهرم پسر بزرگ ارجاسپ,فرمان مرگ
خاقان (خاقان چین),افراسیاب تورانی,همپیمان
کاموس کشانی,افراسیاب تورانی,همپیمان
شنگل (, افراسیاب),همپیمان
منشور,افراسیاب تورانی,همپیمان
کندر (افراسیاب),افراسیاب تورانی,همپیمان
بیورد کاتی,افراسیاب تورانی,همپیمان
سگسار,افراسیاب تورانی,همپیمان
فرتوس,افراسیاب تورانی,همپیمان
گهار,افراسیاب تورانی,همپیمان
شمیران شگنی,افراسیاب تورانی,همپیمان
گردوی تورانی,افراسیاب تورانی,همپیمان
پولادوند,افراسیاب تورانی,همپیمان
فغفور (دوزاده رخ),افراسیاب تورانی,همپیمان
خاقان چین (دوازده رخ),افراسیاب تورانی,همپیمان
شاه چگل,ارجاسب,همپیمان
شاه سوس,فیلقوس,همپیمان
خاقان چین (افراسیاب),افراسیاب تورانی,همپیمان
شاه سند,افراسیاب تورانی,همپیمان
کهیلا,افراسیاب تورانی,نبیره
کاکوی,ضحاک,نبیره
ایلا,افراسیاب تورانی,نبیره
کاکله,تور,نبیره
هوم,فریدون,نبیره
اسکندر,فیلقوس,نبیره
نصر قتیب,اسماعیل,نبیره
اردشیر بابکان,بابک,نبیره
مهراب,ضحاک,نبیره
آبتین,تهمورث,نبیره
پشنگ (فریدون),جمشید,نبیره
بهرام گور,شمیران شه,نبیره
خسرو (بهرام گور),کی پشین,نبیره
نصر قتیب,اسماعیل,نبیره
اردشیر بابکان,ساسان ساسانیان,نبیره
کرکوی,سلم,نبیره
کاکوی,سلم,نبیره
لهراسپ,هوشنگ,نبیره
زادشم,تور,نبیره
زو تهماسب,فریدون,نبیره
کی قباد,فریدون,نبیره
کتماره,قارن کاوه,نبیره
آزرم دخت,پوران دخت,جانشین
یزدگرد سوم,فرخ زاد (شاه),جانشین
بلاش,پیروز (شاه),جانشین
قباد پیروز,بلاش,جانشین
برانوش (,),جانشین
فرخ زاد (شاه),آزرم دخت,جانشین
زو تهماسب,نوذر,جانشین
کاووس,کی قباد,جانشین
اولاد,شاه مازندران,جانشین
کی قباد,زو تهماسب,جانشین
نوذر,منوچهر,جانشین
منوچهر,فریدون,جانشین
فریدون,ضحاک,جانشین
ضحاک,جمشید,جانشین
جمشید,تهمورث,جانشین
تهمورث,هوشنگ,جانشین
هوشنگ,کیومرث,جانشین
کی خسرو,کاووس,جانشین
افراسیاب تورانی,پشنگ,جانشین
لهراسپ,کی خسرو,جانشین
گشتاسپ,لهراسپ,جانشین
بهمن اسفندیار,گشتاسپ,جانشین
همای بهمن,بهمن اسفندیار,جانشین
داراب,همای بهمن,جانشین
دارای داراب,داراب,جانشین
اسکندر,دارای داراب,جانشین
اردوان,اسکندر,جانشین
اردشیر بابکان,اردوان,جانشین
شاپور اردشیر,اردشیر بابکان,جانشین
اورمزد شاپور,شاپور اردشیر,جانشین
بهرام اورمزد,اورمزد شاپور,جانشین
بهرام بهرام,بهرام اورمزد,جانشین
بهرام بهرامیان,بهرام بهرام,جانشین
نرسی بهرام,بهرام بهرامیان,جانشین
اورمزد نرسی,نرسی بهرام,جانشین
شاپور هوبه سنبا,اورمزد نرسی,جانشین
اورمزد نرسی,شاپور هوبه سنبا,جانشین
