character_1,character_2,relationship
یزدگرد پور بهرام گور,بهرام گور,فرزند
خوشنواز,خاقان چین (پیروز),فرزند
زرمهر,سوخراش / سوفزای,فرزند
کسرا انوشیروان,قباد پیروز,فرزند
دختر خاقان (نوشین روان),خاتون (نوشین روان),فرزند
دختر خاقان (نوشین روان),خاقان (انوشیروان),فرزند
گو سندلی,جمهور,فرزند
طلخند,مای طلخند,فرزند
پرموده,خاقان (پدرپرموده),فرزند
دختر خاقان (بهرام چوبینه),خاقان (بهرام چوبینه),فرزند
دختر خاقان (بهرام چوبینه),خاتون (بهرام چوبینه),فرزند
نستود (پسر خسروپرویز),خسرو پرویز,فرزند
فرود خسروپرویز,خسرو پرویز,فرزند
مردان شه,خسرو پرویز,فرزند
نستود (پسر خسروپرویز),شیرین,فرزند
فرود خسروپرویز,شیرین,فرزند
مردان شه,شیرین,فرزند
پسر ماهوی,ماهوی,فرزند
سه پسر ماهوی,ماهوی,فرزند
شاه شیرویه,خسرو پرویز,فرزند
پیروز (شاه),یزدگرد پور بهرام گور,فرزند
اردشیر شیروی,شاه شیرویه,فرزند
قارن کاوه,کاوه,فرزند
دختر بابک,بابک,فرزند
دختر هفتواد,هفتواد,فرزند
کی بیرش,کی قباد,فرزند
رودابه,سیندخت,فرزند
سهراب,تهمینه,فرزند
سام,نریمان,فرزند
زال زر,سام,فرزند
زال زر,نگاری (سام),فرزند
نوش زاد,زن پرمایه,فرزند
خسرو پرویز,هرمز پسر نوشین روان,فرزند
قباد پیروز,پیروز (شاه),فرزند
بلاش,پیروز (شاه),فرزند
روشنک,دلارای دارا,فرزند
بارمان پسر ویسه,ویسه,فرزند
شغاد,کنیزک (مادر شغاد),فرزند
کلباد نخست,پیران ویسه,فرزند
کلباد نخست,ویسه,فرزند
اغریرث,پشنگ,فرزند
قباد پهلوان,کاوه,فرزند
سیاوش,کاووس,فرزند
گرگین,میلاد,فرزند
فرامرز,رستم,فرزند
اشکش,قباد پهلوان,فرزند
رویین,پیران ویسه,فرزند
نستوه گودرز,گودرز,فرزند
دلافروز توش,اسفندیار,فرزند
کهرم پسر ارجاسب,ارجاسب,فرزند
رودابه,زال زر,همسر
تهمینه,رستم,همسر
جریره,سیاوش,همسر
زن گازر,گازر,همسر
گلشهر,پیران ویسه,همسر
سودابه,کاووس,همسر
ارنواز,ضحاک,همسر
شهرناز,ضحاک,همسر
فرانک (دختر برزین),بهرام گور,همسر
فرانک,آبتین,همسر
